477ff4;HUAF244,HUAF242,HUAF608,HUAF259,HUAF269,HUAF265,CAMEL64,HUAF299,HUAF297,HUAF308,HUAF312,HUAF317,HUAF316,HUAF318,HUAF324,HUAF332,HUAF339,HUAF370,HUAF372,HUAF377,HUAF385,HUAF392,HUAF402,HUAF393,HUAF403,HUAF709,HUAF409,HUAF411,HUAF412,HUAF713,HUAF413,HUAF428,HUAF430,HUAF432,HUAF728,HUAF447,HUAF439,HUAF440,HUAF450,HUAF449,HUAF457,HUAF458,HUAF468,HUAF467,HUAF476,HUAF477,HUAF487,HUAF489,HUAF488,HUAF491,HUAF492,HUAF133,HUAF134,HUAF163,HUAF168,HUAF174,HUAF183,HUAF186,HUAF189,HUAF190,HUAF200,HUAF195,HUAF218,HUAF197,HUAF229,HUAF226,HUAF215,HUAF225,HUAF233,HUAF245,HUAF246,HUAF250,HUAF252,HUAF260,HUAF278,HUAF287,HUAF295,HUAF300,HUAF303,HUAF305,HUAF304,HUAF314,HUAF292,HUAF310,HUAF293,HUAF319,HUAF325,HUAF326,HUAF330,HUAF331,HUAF333,HUAF335,HUAF344,HUAF356,HUAF343,HUAF350,HUAF362,HUAF367,HUAF375,HUAF382,HUAF384,HUAF391,HUAF387,HUAF390,HUAF394,HUAF423,HUAF420,HUAF696,HUAF421,HUAF448,HUAF462,HUAF464,HUAF102,HUAF105,HUAF115,HUAF120,HUAF121,HUAF129,HUAF126,HUAF132
43c6fa;RRR2301,RRR2300,RRR2302,RRR2303,RRR2304,RRR2305,RRR2770,RRR2771,RRR2310,RRR2321,RRR2824,RRR2878,RRR2879,RRR2608,RRR2627,RRR2326,RRR2327,RRR2113
477ff2;BARTK34,BARTK94,BARTK24,BARTK55,BARTK50,BARTK56,BARTK93,BARTK98,BARTK80,BARTK77,BARTK91,BARTK89,BARTK19,BARTK15,BARTK20,BRTK31,BARTK31,BARTK49,BARTK11,BARTK28,BARTK43,BARTK29,BRK20,BRK21,BRK98,BRK46,BRK76,BRK61,BRK67,BRK19,BRK50,BRK75,BRK78,BRK79,BRK89,BRK17,BRK12,BRK56,BRK25,BRK26,BRK15,BRK40,BRK41,BRK91,BRK96,BRK11,BRK88,BRK71,BRK30,BRK72,BRK47,BRK51,BRK49,BRK68,BRK43,BRK62,BRK58,BRK63,BRK38
484363;P4RRR
ae0577;RCH848
498421;CEF05B,CEF538W,CEF539W,CEF638,CEF546W,CEF550,CEF566,CEF551,CEF02,CEF08,CEF564,CEF560,CEF05C,DPHIN31,CEF556,CEF582W,CEF584W,CEF579W,CEF580,CEF574,CEF590,DPHIN61,DPHIN62,DPHIN71,DPHIN72,CEF591,CEF575,CEF599,CEF5001,CEF05F,CEF5014,DPHIN41,CEF6016,CEF5022,CEF5016,CEF5020,CEF5024,CEF6021,CEF5027,DPHIN51,CEF5032,CEF5033,CEF501,CEF506,CEF505,CEF516,DPHIN42,CEF517,CEF05J,CEF531,CEF03,CEF537,CEF04,CEF542,CEF544,CEF545,CEF547,CEF552,CEF05E,CEF562,CEF563,CEF567,CEF05A,CEF568,CEF570,CEF571,CEF565,CEF577,CEF578,DPHIN21,DPHIN22,CEF584,CEF6013,CEF6014,CEF585,CEF581W,CEF583,DPHIN52,CEF594,CEF596,CEF598,CEF05D,CEF05H,CEF08A,CEF5003,CEF5009,CEF05N,CEF5008,CEF3153,CEF502,CEF503
477ff6;HUAF591,HUAF602,HUAF595,HUAF630,HUAF631,HUAF628,HUAF627,HUAF636,HUAF638,HUAF641,HUAF648,HUAF652,HUAF662,HUAF668,HUAF682,HUAF669,HUAF670,HUAF673,HUAF678,HUAF679,HUAF677,HUAF680,HUAF688,HUAF660,HUAF696,HUAF698,HUAF701,HUAF704,HUAF705,HUAF710,HUAF408,HUAF711,HUAF717,HUAF720,HUAF719,HUAF724,HUAF723,HUAF745,HUAF759,HUAF505,HUAF104,HUAF516,HUAF529,HUAF164,HUAF545,HUAF539,HUAF561,HUAF558,HUAF567,HUAF569,HUAF543,HUAF575,HUAF579,HUAF593,HUAF599,HUAF608,HUAF600,HUAF596,HUAF609,HUAF614,HUAF629,HUAF674,HUAF684,HUAF681,HUAF676,HUAF690,HUAF685,HUAF407,HUAF691,HUAF692,HUAF693,HUAF694,HUAF695,HUAF606,HUAF707,HUAF709,HUAF718,HUAF728,HUAF729,HUAF730,HUAF503,HUAF507,HUAF508,HUAF509,HUAF512,HUAF521,HUAF522,HUAF525,HUAF526,HUAF532,HUAF531
ae07ef;RCH190,RCH535,RCH841,RCH864,RCH855,RCH854,RCH680,RCH172,RCH197,RCH897,RCH875,RCH817,RCH891,RCH856,RCH822,RCH801,RCH804,RCH811,RCH807,RCH820,RCH818
477ff7;HUAF589,HUAF594,HUAF603,HUAF596,HUAF601,HUAF610,HUAF609,HUAF254,HUAF611,HUAF616,HUAF621,HUAF612,HUAF618,HUAF622,HUAF623,HUAF624,HUAF625,HUAF629,HUAF632,HUAF634,HUAF639,HUAF640,HUAF643,HUAF647,HUAF649,HUAF656,HUAF658,HUAF659,HUAF681,HUAF671,HUAF684,HUAF675,HUAF686,HUAF695,HUAF685,HUAF697,HUAF730,HUAF734,HUAF733,HUAF735,HUAF777,HUAF739,HUAF751,HUAF756,HUAF752,HUAF757,HUAF761,HUAF762,HUAF501,HUAF504,HUAF513,HUAF508,HUAF503,HUAF515,HUAF520,HUAF531,HUAF536,HUAF528,HUAF547,HUAF533,HUAF535,HUAF534,HUAF552,HUAF554,HUAF557,HUAF607,HUAF565,HUAF542,HUAF570,HUAF571,HUAF574,HUAF578,HUAF588,HUAF597,HUAF598,HUAF619,HUAF620,HUAF615,HUAF627,HUAF630,HUAF636,HUAF637,HUAF642,HUAF644,HUAF648,HUAF654,HUAF657,HUAF664,HUAF663,HUAF670,HUAF668,HUAF672,HUAF699,HUAF704,HUAF712,HUAF717,HUAF721,HUAF726,HUAF731,HUAF506,HUAF505,HUAF524,HUAF517
ae0658;RCH816
